sex,age,attribute,score,t_score
m,10,gad,26,82
m,10,gad,25,80
m,10,gad,24,78
m,10,gad,23,76
m,10,gad,22,74
m,10,gad,21,72
m,10,gad,20,70
m,10,gad,19,68
m,10,gad,18,66
m,10,gad,17,64
m,10,gad,16,62
m,10,gad,15,60
m,10,gad,14,59
m,10,gad,13,57
m,10,gad,12,55
m,10,gad,11,53
m,10,gad,10,51
m,10,gad,9,49
m,10,gad,8,47
m,10,gad,7,45
m,10,gad,6,43
m,10,gad,5,41
m,10,gad,4,40
m,10,gad,3,40
m,10,gad,2,40
m,10,gad,1,40
m,10,gad,0,40
m,10,sa,27,79
m,10,sa,26,77
m,10,sa,25,75
m,10,sa,24,74
m,10,sa,23,72
m,10,sa,22,70
m,10,sa,21,68
m,10,sa,20,67
m,10,sa,19,65
m,10,sa,18,63
m,10,sa,17,62
m,10,sa,16,60
m,10,sa,15,58
m,10,sa,14,57
m,10,sa,13,55
m,10,sa,12,53
m,10,sa,11,52
m,10,sa,10,50
m,10,sa,9,48
m,10,sa,8,46
m,10,sa,7,45
m,10,sa,6,43
m,10,sa,5,41
m,10,sa,4,40
m,10,sa,3,40
m,10,sa,2,40
m,10,sa,1,40
m,10,sa,0,40
m,10,hr,15,74
m,10,hr,14,71
m,10,hr,13,69
m,10,hr,12,66
m,10,hr,11,63
m,10,hr,10,61
m,10,hr,9,58
m,10,hr,8,56
m,10,hr,7,53
m,10,hr,6,51
m,10,hr,5,48
m,10,hr,4,46
m,10,hr,3,43
m,10,hr,2,40
m,10,hr,1,40
m,10,hr,0,40
m,10,pf,12,78
m,10,pf,11,75
m,10,pf,10,71
m,10,pf,9,67
m,10,pf,8,63
m,10,pf,7,60
m,10,pf,6,56
m,10,pf,5,52
m,10,pf,4,49
m,10,pf,3,45
m,10,pf,2,41
m,10,pf,1,40
m,10,pf,0,40
m,10,oc,30,87
m,10,oc,29,86
m,10,oc,28,84
m,10,oc,27,82
m,10,oc,26,81
m,10,oc,25,79
m,10,oc,24,78
m,10,oc,23,76
m,10,oc,22,74
m,10,oc,21,73
m,10,oc,20,71
m,10,oc,19,70
m,10,oc,18,68
m,10,oc,17,66
m,10,oc,16,65
m,10,oc,15,63
m,10,oc,14,62
m,10,oc,13,60
m,10,oc,12,58
m,10,oc,11,57
m,10,oc,10,55
m,10,oc,9,54
m,10,oc,8,52
m,10,oc,7,50
m,10,oc,6,49
m,10,oc,5,47
m,10,oc,4,46
m,10,oc,3,44
m,10,oc,2,43
m,10,oc,1,41
m,10,oc,0,40
m,10,ps,36,90
m,10,ps,35,89
m,10,ps,34,88
m,10,ps,33,86
m,10,ps,32,85
m,10,ps,31,83
m,10,ps,30,82
m,10,ps,29,81
m,10,ps,28,79
m,10,ps,27,78
m,10,ps,26,76
m,10,ps,25,75
m,10,ps,24,74
m,10,ps,23,72
m,10,ps,22,71
m,10,ps,21,69
m,10,ps,20,68
m,10,ps,19,66
m,10,ps,18,65
m,10,ps,17,64
m,10,ps,16,62
m,10,ps,15,61
m,10,ps,14,59
m,10,ps,13,58
m,10,ps,12,57
m,10,ps,11,55
m,10,ps,10,54
m,10,ps,9,52
m,10,ps,8,51
m,10,ps,7,49
m,10,ps,6,48
m,10,ps,5,47
m,10,ps,4,45
m,10,ps,3,44
m,10,ps,2,42
m,10,ps,1,41
m,10,ps,0,40
m,10,p,21,90
m,10,p,20,90
m,10,p,19,88
m,10,p,18,85
m,10,p,17,83
m,10,p,16,80
m,10,p,15,78
m,10,p,14,75
m,10,p,13,73
m,10,p,12,70
m,10,p,11,68
m,10,p,10,65
m,10,p,9,63
m,10,p,8,61
m,10,p,7,58
m,10,p,6,56
m,10,p,5,53
m,10,p,4,51
m,10,p,3,48
m,10,p,2,46
m,10,p,1,43
m,10,p,0,41
m,10,tr,15,85
m,10,tr,14,82
m,10,tr,13,79
m,10,tr,12,76
m,10,tr,11,73
m,10,tr,10,70
m,10,tr,9,67
m,10,tr,8,64
m,10,tr,7,60
m,10,tr,6,57
m,10,tr,5,54
m,10,tr,4,51
m,10,tr,3,48
m,10,tr,2,45
m,10,tr,1,42
m,10,tr,0,40
m,10,ha,24,67
m,10,ha,23,65
m,10,ha,22,62
m,10,ha,21,60
m,10,ha,20,57
m,10,ha,19,55
m,10,ha,18,53
m,10,ha,17,50
m,10,ha,16,48
m,10,ha,15,45
m,10,ha,14,43
m,10,ha,13,40
m,10,ha,12,40
m,10,ha,11,40
m,10,ha,10,40
m,10,ha,9,40
m,10,ha,8,40
m,10,ha,7,40
m,10,ha,6,40
m,10,ha,5,40
m,10,ha,4,40
m,10,ha,3,40
m,10,ha,2,40
m,10,ha,1,40
m,10,ha,0,40
m,11,gad,30,90
m,11,gad,29,88
m,11,gad,28,86
m,11,gad,27,84
m,11,gad,26,82
m,11,gad,25,80
m,11,gad,24,78
m,11,gad,23,76
m,11,gad,22,74
m,11,gad,21,72
m,11,gad,20,70
m,11,gad,19,68
m,11,gad,18,66
m,11,gad,17,64
m,11,gad,16,62
m,11,gad,15,60
m,11,gad,14,59
m,11,gad,13,57
m,11,gad,12,55
m,11,gad,11,53
m,11,gad,10,51
m,11,gad,9,49
m,11,gad,8,47
m,11,gad,7,45
m,11,gad,6,43
m,11,gad,5,41
m,11,gad,4,40
m,11,gad,3,40
m,11,gad,2,40
m,11,gad,1,40
m,11,gad,0,40
m,11,sa,27,79
m,11,sa,26,77
m,11,sa,25,75
m,11,sa,24,74
m,11,sa,23,72
m,11,sa,22,70
m,11,sa,21,68
m,11,sa,20,67
m,11,sa,19,65
m,11,sa,18,63
m,11,sa,17,62
m,11,sa,16,60
m,11,sa,15,58
m,11,sa,14,57
m,11,sa,13,55
m,11,sa,12,53
m,11,sa,11,52
m,11,sa,10,50
m,11,sa,9,48
m,11,sa,8,46
m,11,sa,7,45
m,11,sa,6,43
m,11,sa,5,41
m,11,sa,4,40
m,11,sa,3,40
m,11,sa,2,40
m,11,sa,1,40
m,11,sa,0,40
m,11,hr,15,74
m,11,hr,14,71
m,11,hr,13,69
m,11,hr,12,66
m,11,hr,11,63
m,11,hr,10,61
m,11,hr,9,58
m,11,hr,8,56
m,11,hr,7,53
m,11,hr,6,51
m,11,hr,5,48
m,11,hr,4,46
m,11,hr,3,43
m,11,hr,2,40
m,11,hr,1,40
m,11,hr,0,40
m,11,pf,12,78
m,11,pf,11,75
m,11,pf,10,71
m,11,pf,9,67
m,11,pf,8,63
m,11,pf,7,60
m,11,pf,6,56
m,11,pf,5,52
m,11,pf,4,49
m,11,pf,3,45
m,11,pf,2,41
m,11,pf,1,40
m,11,pf,0,40
m,11,oc,30,87
m,11,oc,29,86
m,11,oc,28,84
m,11,oc,27,82
m,11,oc,26,81
m,11,oc,25,79
m,11,oc,24,78
m,11,oc,23,76
m,11,oc,22,74
m,11,oc,21,73
m,11,oc,20,71
m,11,oc,19,70
m,11,oc,18,68
m,11,oc,17,66
m,11,oc,16,65
m,11,oc,15,63
m,11,oc,14,62
m,11,oc,13,60
m,11,oc,12,58
m,11,oc,11,57
m,11,oc,10,55
m,11,oc,9,54
m,11,oc,8,52
m,11,oc,7,50
m,11,oc,6,49
m,11,oc,5,47
m,11,oc,4,46
m,11,oc,3,44
m,11,oc,2,43
m,11,oc,1,41
m,11,oc,0,40
m,11,ps,36,90
m,11,ps,35,89
m,11,ps,34,88
m,11,ps,33,86
m,11,ps,32,85
m,11,ps,31,83
m,11,ps,30,82
m,11,ps,29,81
m,11,ps,28,79
m,11,ps,27,78
m,11,ps,26,76
m,11,ps,25,75
m,11,ps,24,74
m,11,ps,23,72
m,11,ps,22,71
m,11,ps,21,69
m,11,ps,20,68
m,11,ps,19,66
m,11,ps,18,65
m,11,ps,17,64
m,11,ps,16,62
m,11,ps,15,61
m,11,ps,14,59
m,11,ps,13,58
m,11,ps,12,57
m,11,ps,11,55
m,11,ps,10,54
m,11,ps,9,52
m,11,ps,8,51
m,11,ps,7,49
m,11,ps,6,48
m,11,ps,5,47
m,11,ps,4,45
m,11,ps,3,44
m,11,ps,2,42
m,11,ps,1,41
m,11,ps,0,40
m,11,p,21,90
m,11,p,20,90
m,11,p,19,88
m,11,p,18,85
m,11,p,17,83
m,11,p,16,80
m,11,p,15,78
m,11,p,14,75
m,11,p,13,73
m,11,p,12,70
m,11,p,11,68
m,11,p,10,65
m,11,p,9,63
m,11,p,8,61
m,11,p,7,58
m,11,p,6,56
m,11,p,5,53
m,11,p,4,51
m,11,p,3,48
m,11,p,2,46
m,11,p,1,43
m,11,p,0,41
m,11,tr,15,85
m,11,tr,14,82
m,11,tr,13,79
m,11,tr,12,76
m,11,tr,11,73
m,11,tr,10,70
m,11,tr,9,67
m,11,tr,8,64
m,11,tr,7,60
m,11,tr,6,57
m,11,tr,5,54
m,11,tr,4,51
m,11,tr,3,48
m,11,tr,2,45
m,11,tr,1,42
m,11,tr,0,40
m,11,ha,24,67
m,11,ha,23,65
m,11,ha,22,62
m,11,ha,21,60
m,11,ha,20,57
m,11,ha,19,55
m,11,ha,18,53
m,11,ha,17,50
m,11,ha,16,48
m,11,ha,15,45
m,11,ha,14,43
m,11,ha,13,40
m,11,ha,12,40
m,11,ha,11,40
m,11,ha,10,40
m,11,ha,9,40
m,11,ha,8,40
m,11,ha,7,40
m,11,ha,6,40
m,11,ha,5,40
m,11,ha,4,40
m,11,ha,3,40
m,11,ha,2,40
m,11,ha,1,40
m,11,ha,0,40
